run_date,market_region,universe_mode,ticker,name,entry_price,target1_price,target2_price,stop_price,data_quality,liquidity_warning,risk_reward_warning,days_after,tracking_date,close_price,return_pct,max_return_pct,min_return_pct,hit_target1,hit_target2,hit_stop,first_hit,status,next_open_price,next_open_gap_pct
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,10.0,2026-07-27,13950.0,0.722,3.9711,-6.2094,1.0,0.0,1.0,target1_first,completed,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,9.0,2026-07-24,13950.0,0.722,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,8.0,2026-07-23,13750.0,-0.722,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,7.0,2026-07-22,13390.0,-3.3213,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,6.0,2026-07-21,13380.0,-3.3935,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,5.0,2026-07-20,13510.0,-2.4549,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,4.0,2026-07-16,13660.0,-1.3718,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,3.0,2026-07-15,13880.0,0.2166,3.9711,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,2.0,2026-07-14,13750.0,-0.722,2.5271,-6.2094,1.0,0.0,1.0,target1_first,tracking,13970.0,0.8664
2026-07-12,kr,kospi_kosdaq,003690.KS,코리안리,13850.0,14000.0,14540.0,13270.0,good,,손익비 기준 미달: 0.25 < 1.20,1.0,2026-07-13,13930.0,0.5776,2.5271,-0.722,1.0,0.0,0.0,target1_first,tracking,13970.0,0.8664
